Year	Total Apple Bullish En. Per-Year	Year	Total Apple Bearish En. Per-Year	Year	Total Microsoft Bullish En. Per-Year	Year	Total Microsoft Bearish En. Per-Year	Apple Porduct Year	Apple Product Released Per-Year	Bullish Engulfing Dates (Apple)	Bearish Engulfing Dated (Apple)	Bullish Engulfing Dates (Microsoft)	Bearish Engulfing Dates (Microsoft)
1987	7	1987	3	1987	6	1987	7	1976	1	1/14/87	5/8/87	1/5/87	2/5/87
1988	8	1988	9	1988	4	1988	7	1977	1	1/22/87	9/28/87	1/19/87	2/18/87
1989	8	1989	6	1989	8	1989	7	1978	1	2/23/87	11/19/87	2/23/87	3/13/87
1990	5	1990	7	1990	8	1990	6	1979	7	3/10/87	1/8/88	2/26/87	4/20/87
1991	4	1991	7	1991	6	1991	4	1980	6	3/31/87	2/5/88	5/7/87	7/23/87
1992	6	1992	3	1992	10	1992	9	1981	2	4/21/87	3/10/88	12/10/87	10/14/87
1993	12	1993	5	1993	4	1993	5	1982	2	9/30/87	8/31/88	2/18/88	12/3/87
1994	11	1994	1	1994	8	1994	3	1983	4	3/16/88	9/6/88	5/2/88	1/29/88
1995	3	1995	5	1995	7	1995	10	1984	17	3/28/88	9/15/88	5/31/88	3/10/88
1996	3	1996	9	1996	6	1996	6	1985	11	6/21/88	11/18/88	6/28/88	4/11/88
1997	5	1997	7	1997	5	1997	4	1986	12	8/18/88	12/22/88	1/11/89	6/17/88
1998	7	1998	4	1998	7	1998	5	1987	11	9/16/88	12/30/88	3/2/89	7/11/88
1999	4	1999	5	1999	2	1999	6	1988	5	11/4/88	2/3/89	6/6/89	7/25/88
2000	3	2000	5	2000	5	2000	4	1989	11	11/23/88	2/8/89	6/30/89	8/15/88
2001	1	2001	7	2001	10	2001	8	1990	4	12/16/88	2/24/89	7/21/89	4/25/89
2002	8	2002	7	2002	5	2002	5	1991	8	1/26/89	3/15/89	8/22/89	6/19/89
2003	4	2003	9	2003	6	2003	5	1992	9	3/16/89	8/16/89	9/8/89	7/6/89
